COMP,GAP,COMPGAP,TREATMENT,TREE_ID,SPECIES,STATUS_2018,DBH_2018,HEIGHT_2018,HTCB_2018,PVCS_2018,COMMENTS_2018,P_NP,DBH_2013,HTCB_2013,PVCS_2013,ANN_INC,RGR,BA_2013,BA_2018,BAI
10,O,10O,MH,49,DF,L,8.3,31,1,,WITNESS D 4 AZ 226,NP,4.1,0,,0.84,0.204878049,0.09168174,0.37572606,0.056808864
10,O,10O,MH,59,IC,L,9.4,27,3,,,NP,4.2,1,,1.04,0.247619048,0.09620856,0.48191544,0.077141376
10,O,10O,MH,62,IC,L,6.9,21,6,,,P,3,5.5,,0.78,0.26,0.049086,0.25966494,0.042115788
10,O,10O,MH,69,IC,L,5.2,19,2,,,NP,2.4,0,,0.56,0.233333333,0.03141504,0.14747616,0.023212224
10,O,10O,MH,70,IC,L,6,21,2,,,NP,2.6,0,,0.68,0.261538462,0.03686904,0.196344,0.031894992
10,O,10O,MH,71,PP,L,9.1,31,7,,,P,4.6,7,,0.9,0.195652174,0.11540664,0.45164574,0.06724782
10,O,10O,MH,73,PP,L,11.2,40,10,,,P,6.5,9.7,,0.94,0.144615385,0.2304315,0.68414976,0.090743652
10,O,10O,MH,74,DF,L,4.5,21,5,,WITNESS D 13.4 AZ 24,P,2.1,5.5,,0.48,0.228571429,0.02405214,0.1104435,0.017278272
10,O,10O,MH,75,SP,L,8.4,37,3,,WITNESS AZ 143 D 15.8,NP,4,2,,0.88,0.22,0.087264,0.38483424,0.059514048
10,O,10O,MH,76,IC,L,7.9,30,6,,,P,4.9,6.5,,0.6,0.12244898,0.13095054,0.34038414,0.04188672
10,O,10O,MH,77,PP,L,9.8,38,7,,,NP,5.8,2,,0.8,0.137931034,0.18347256,0.52380216,0.06806592
10,O,10O,MH,78,IC,L,9.4,32,7,,,P,6,7.1,,0.68,0.113333333,0.196344,0.48191544,0.057114288
10,O,10O,MH,81,IC,L,8,27,2,,,NP,3.5,0.5,,0.9,0.257142857,0.0668115,0.349056,0.0564489
10,O,10O,MH,84,PP,L,13.2,43,10,,,P,8.1,10.7,,1.02,0.125925926,0.35783694,0.95030496,0.118493604
